#  time               r              phi             Phi             Pi            delta              A            Ricci
0.0000000000    0.1425497667    0.4604537514   -0.5395768768    0.0000000000   -0.0015218319    0.9972764917  -10.5829491982
0.0000000000    0.2850995333    0.3546090510   -0.9028601707    0.0000000000   -0.0189203174    0.9814817410  -10.0234621210
0.0000000000    0.4276493000    0.2178202729   -0.9592106803    0.0000000000   -0.0618527346    0.9532268528  -10.3578287540
0.0000000000    0.5701990666    0.0965252592   -0.6987901725    0.0000000000   -0.1050165533    0.9386094521  -11.3131709052
0.0000000000    0.7127488333    0.0251891751   -0.3042869029    0.0000000000   -0.1227867157    0.9506904042  -11.8966921562
0.0000000000    0.8552985999    0.0025076648   -0.0536382166    0.0000000000   -0.1249635160    0.9707608612  -11.9975710951
0.0000000000    0.9978483666    0.0000335017   -0.0014136063    0.0000000000   -0.1249999477    0.9851578679  -11.9999988384
0.0000000000    1.1403981333    0.0000000029   -0.0000002868    0.0000000000   -0.1249999590    0.9937434463  -12.0000000000
0.0000000000    1.2829478999    0.0000000000   -0.0000000000    0.0000000000   -0.1249999590    0.9981320553  -12.0000000000
0.0000000000    1.4254976666    0.0000000000   -0.0000000000    0.0000000000   -0.1249999590    0.9997598591  -12.0000000000
